"","CO2","Time"
"1",1.1851371,1
"2",1.1876048,2
"3",1.1892913,3
"4",1.1947277,4
"5",1.202508,5
"6",1.2152884,6
"7",1.2224436,7
"8",1.2210051,8
"9",1.2201914,9
"10",1.2226591,10
"11",1.2254393,11
"12",1.2304071,12
"13",1.2316247,13
"14",1.2247173,14
"15",1.2240599,15
"16",1.2457156,16
"17",1.2564966,17
"18",1.2745905,18
"19",1.332372,19
"20",1.3478091,20
"21",1.334964,21
"22",1.3278997,22
"23",1.3091165,23
"24",1.2850208,24
"25",1.2789253,25
"26",1.2677675,26
"27",1.2542973,27
"28",1.2392647,28
"29",1.2267322,29
"30",1.2170122,30
"31",1.2118235,31
"32",1.2069473,32
"33",1.2028524,33
"34",1.1993825,34
"35",1.1985689,35
"36",1.1983803,36
"37",1.200223,37
"38",1.2075346,38
"39",1.2254712,39
"40",1.2437204,40
"41",1.2480631,41
"42",1.2413119,42
"43",1.2287794,43
"44",1.2149968,44
"45",1.2002768,45
"46",1.1885255,46
"47",1.2014621,47
"48",1.2235872,48
"49",1.2592119,49
"50",1.2712119,50
"51",1.2717119,51
"52",1.2722119,52
"53",1.2688011,53
"54",1.2738011,54
"55",1.2758011,55
"56",1.2896098,56
"57",1.3252031,57
"58",1.3382966,58
"59",1.3470773,59
"60",1.3470765,60
"61",1.3444502,61
"62",1.3406675,62
"63",1.3287598,63
"64",1.3140398,64
"65",1.3040073,65
"66",1.2877247,66
"67",1.2739421,67
"68",1.2607846,68
"69",1.2496582,69
"70",1.2325942,70
"71",1.2166239,71
"72",1.2081538,72
"73",1.2024963,73
"74",1.2005889,74
"75",1.2004002,75
"76",1.1973991,76
"77",1.1970543,77
"78",1.2023344,78
"79",1.2171146,79
"80",1.34063817855439,80
"81",1.36694249262858,81
"82",1.38195075929907,82
"83",1.38738496811836,83
"84",1.38718619896902,84
"85",1.38393621531853,85
"86",1.37974815633778,86
"87",1.37548507781889,87
"88",1.37232279183271,88
"89",1.37159315507201,89
"90",1.37111265583462,90
"91",1.37682274961,91
"92",1.39091484324431,92
"93",1.40886157767229,93
"94",1.42238535922007,94
"95",1.42758368950027,95
"96",1.42750729394054,96
"97",1.42317534900811,97
"98",1.41732580821643,98
"99",1.4114464270249,99
"100",1.40694663676897,100
"101",1.40539201778516,101
"102",1.40506642192352,102
"103",1.40503494466748,103
"104",1.40639349710854,104
"105",1.40890957804911,105
"106",1.41250674653044,106
"107",1.41632664510418,107
"108",1.47101269078158,108
"109",1.5083920671305,109
"110",1.55447377782275,110
"111",1.56058998039623,111
"112",1.55813060779805,112
"113",1.55547329716609,113
"114",1.56222944228711,114
"115",1.57767581516068,115
"116",1.60134405680082,116
"117",1.63225012144708,117
"118",1.66889773606442,118
"119",1.7087231442264,119
"120",1.74918100159815,120
"121",1.7881393960242,121
"122",1.82286890681589,122
"123",1.85198159237727,123
"124",1.87513780354539,124
"125",1.88779584045493,125
"126",1.89259973596822,126
"127",1.88725202385753,127
"128",1.8733719628915,128
"129",1.85363743627402,129
"130",1.8276287545539,130
"131",1.7967125952876,131
"132",1.76859873272975,132
"133",1.72847429187796,133
"134",1.71981719717273,134
"135",1.74719038685834,135
"136",1.75012528426396,136
"137",1.73761578391278,137
"138",1.73363257218356,138
"139",1.73888677766807,139
"140",1.75095685673627,140
"141",1.77878193340501,141
"142",1.80479367473832,142
"143",1.84759013282915,143
"144",1.88370917122081,144
"145",1.92504731837107,145
"146",2.07628655,146
"147",2.117646,147
"148",2.1786933,148
"149",2.21763085,149
"150",2.23813055,150
"151",2.2498802,151
"152",2.2452233,152
"153",2.22540995,153
"154",2.20012775,154
"155",2.1773456,155
"156",2.15878225,156
"157",2.1434221,157
"158",2.13415575,158
"159",2.1303583,159
"160",2.1268733,160
"161",2.1224508,161
"162",2.1189658,162
"163",2.11790275,163
"164",2.1184022,164
"165",2.12007355,165
"166",2.1195573,166
"167",2.11825985,167
"168",2.1153999,168
"169",2.1136337,169
"170",2.1124925,170
"171",2.11142945,171
"172",2.11036635,172
"173",2.1093814,173
"174",2.1091777,174
"175",2.1094428,175
"176",2.10908285,176
"177",2.10919165,177
